"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016324","apical plasma membrane","7/218","39/2522",0.0462225061349441,0.971230382363079,0.971230382363079,"Ca-alpha1D/Sln/wkd/tyn/dia/baz/hbs",7
"GO:0045179","apical cortex","5/218","26/2522",0.0677146281803309,0.971230382363079,0.971230382363079,"baz/loco/Pkn/Dap160/hpo",5
"GO:0009986","cell surface","5/218","27/2522",0.0775171512957189,0.971230382363079,0.971230382363079,"kirre/plx/GNBP1/CG5027/wgn",5
"GO:0000407","phagophore assembly site","3/218","12/2522",0.0782030556741517,0.971230382363079,0.971230382363079,"Atg101/CG11975/Atg1",3
"GO:0045177","apical part of cell","11/218","80/2522",0.0797196035626741,0.971230382363079,0.971230382363079,"Ca-alpha1D/Sln/wkd/tyn/dia/baz/loco/Pkn/Dap160/hpo/hbs",11
"GO:0099503","secretory vesicle","8/218","53/2522",0.081770305808991,0.971230382363079,0.971230382363079,"unc-13-4A/l(2)gl/comt/olf413/VGlut/Dap160/RabX4/CG5235",8
"GO:0099738","cell cortex region","6/218","37/2522",0.0942446529532089,0.971230382363079,0.971230382363079,"Rbp/baz/loco/Pkn/Dap160/hpo",6
"GO:0030133","transport vesicle","8/218","56/2522",0.105192954531574,0.971230382363079,0.971230382363079,"unc-13-4A/l(2)gl/comt/Membrin/VGlut/Dap160/RabX4/Pldn",8
"GO:0031982","vesicle","23/218","205/2522",0.109982288174116,0.971230382363079,0.971230382363079,"unc-13-4A/l(2)gl/Rab39/fdl/nwk/scat/comt/Membrin/RabX5/olf413/robo1/dia/VGlut/Dap160/RabX4/CG5734/Pldn/ClC-b/Rab19/RN-tre/CG5498/hbs/CG5235",23
"GO:0005913","cell-cell adherens junction","3/218","14/2522",0.114028372140608,0.971230382363079,0.971230382363079,"baz/CG42319/hbs",3
"GO:0016327","apicolateral plasma membrane","3/218","14/2522",0.114028372140608,0.971230382363079,0.971230382363079,"l(2)gl/ft/baz",3
"GO:0005911","cell-cell junction","7/218","49/2522",0.125088964860465,0.971230382363079,0.971230382363079,"l(2)gl/Zyx/kirre/baz/hpo/CG42319/hbs",7
"GO:0043025","neuronal cell body","6/218","40/2522",0.125888770792875,0.971230382363079,0.971230382363079,"Rab39/robo1/Shaw/RabX4/Nmnat/Rab19",6
"GO:0098805","whole membrane","11/218","88/2522",0.133410564350812,0.971230382363079,0.971230382363079,"Hmgcr/mino/Membrin/CG11975/olf413/Dhap-at/CG6903/Vps39/VGlut/CG5498/CG5235",11
"GO:0008021","synaptic vesicle","6/218","42/2522",0.149514472764916,0.971230382363079,0.971230382363079,"unc-13-4A/l(2)gl/comt/VGlut/Dap160/RabX4",6
"GO:0044448","cell cortex part","7/218","52/2522",0.157212914216279,0.971230382363079,0.971230382363079,"Rbp/l(2)gl/baz/loco/Pkn/Dap160/hpo",7
"GO:0012506","vesicle membrane","5/218","34/2522",0.165109972978162,0.971230382363079,0.971230382363079,"Membrin/olf413/dia/VGlut/CG5235",5
"GO:0044297","cell body","6/218","44/2522",0.17497524810424,0.971230382363079,0.971230382363079,"Rab39/robo1/Shaw/RabX4/Nmnat/Rab19",6
"GO:0070382","exocytic vesicle","6/218","44/2522",0.17497524810424,0.971230382363079,0.971230382363079,"unc-13-4A/l(2)gl/comt/VGlut/Dap160/RabX4",6
"GO:0005929","cilium","3/218","17/2522",0.17668413020267,0.971230382363079,0.971230382363079,"ATP8B/CG13999/dysc",3
"GO:0016323","basolateral plasma membrane","4/218","26/2522",0.182046860404669,0.971230382363079,0.971230382363079,"l(2)gl/Mtp/Ca-alpha1D/Sln",4
"GO:0012505","endomembrane system","43/218","439/2522",0.196088549632012,0.971230382363079,0.971230382363079,"rho-5/CG31145/unc-13-4A/Ankle2/PIG-T/Mppe/l(2)gl/Ugt36F1/Mtp/Rab39/Hmgcr/fdl/nwk/Nha2/mino/CG11200/ATP8B/CG15651/Rint1/scat/comt/Membrin/olf413/CG14646/plx/GCS1/VGlut/Dap160/GalT1/RabX4/Syx16/CG5734/Pldn/ClC-b/CG5027/CG14621/Rab19/Pgant3/Cog3/CG5498/cbs/hbs/CG5235",43
"GO:0098800","inner mitochondrial membrane protein complex","2/218","10/2522",0.211776941862421,0.971230382363079,0.971230382363079,"MCU/ND-AGGG",2
"GO:0036477","somatodendritic compartment","9/218","77/2522",0.216749387751237,0.971230382363079,0.971230382363079,"DCX-EMAP/mAChR-B/Rab39/ATP8B/robo1/Shaw/RabX4/Nmnat/Rab19",9
"GO:0000323","lytic vacuole","4/218","28/2522",0.218923251378899,0.971230382363079,0.971230382363079,"CG6903/Vps39/Syx16/ClC-b",4
"GO:0005764","lysosome","4/218","28/2522",0.218923251378899,0.971230382363079,0.971230382363079,"CG6903/Vps39/Syx16/ClC-b",4
