"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006030","chitin metabolic process","7/102","19/2428",6.25615213957832e-06,0.00680669352786121,0.00598614978408073,"CG14880/CG42494/Cht6/mtg/Cda5/exp/thw",7
"GO:0009888","tissue development","26/102","271/2428",2.64140070115836e-05,0.00876259003506762,0.00770626387565447,"Fas2/dpy/pyr/Dg/shot/Dys/cos/spri/cv-c/RhoGAP19D/mthl1/FER/hep/pico/scaf/btsz/chas/SP2353/fry/fog/CG30069/Myo10A/pigs/Gli/step/Scgdelta",26
"GO:0009653","anatomical structure morphogenesis","34/102","411/2428",2.75793383067499e-05,0.00876259003506762,0.00770626387565447,"Fas2/dpy/pyr/Dg/shot/Dys/cos/rg/spri/spz4/cv-c/haf/RhoGAP19D/mthl1/FER/hep/tinc/Ank2/pwn/scaf/btsz/chas/SP2353/fry/fog/sas/Myo10A/pigs/Gli/step/CG44153/Scgdelta/exp/Dscam2",34
"GO:0048569","post-embryonic animal organ development","16/102","127/2428",5.00692221710726e-05,0.00876259003506762,0.00770626387565447,"Fas2/dpy/pyr/Dg/shot/Dys/cos/cv-c/RhoGAP19D/mthl1/hep/scaf/fry/fog/Gli/step",16
"GO:0048729","tissue morphogenesis","20/102","187/2428",5.948560225598e-05,0.00876259003506762,0.00770626387565447,"Fas2/dpy/pyr/Dg/shot/Dys/cos/cv-c/RhoGAP19D/mthl1/FER/hep/scaf/btsz/chas/fry/fog/Myo10A/Gli/step",20
"GO:1901071","glucosamine-containing compound metabolic process","7/102","26/2428",6.40079053254173e-05,0.00876259003506762,0.00770626387565447,"CG14880/CG42494/Cht6/mtg/Cda5/exp/thw",7
"GO:0016331","morphogenesis of embryonic epithelium","9/102","45/2428",7.17808849784823e-05,0.00876259003506762,0.00770626387565447,"shot/cv-c/FER/hep/scaf/btsz/fog/Myo10A/step",9
"GO:0007560","imaginal disc morphogenesis","15/102","118/2428",7.9624373112809e-05,0.00876259003506762,0.00770626387565447,"Fas2/dpy/Dg/shot/Dys/cos/cv-c/RhoGAP19D/mthl1/hep/scaf/fry/fog/Gli/step",15
"GO:0048563","post-embryonic animal organ morphogenesis","15/102","118/2428",7.9624373112809e-05,0.00876259003506762,0.00770626387565447,"Fas2/dpy/Dg/shot/Dys/cos/cv-c/RhoGAP19D/mthl1/hep/scaf/fry/fog/Gli/step",15
"GO:0006040","amino sugar metabolic process","7/102","27/2428",8.34572609428269e-05,0.00876259003506762,0.00770626387565447,"CG14880/CG42494/Cht6/mtg/Cda5/exp/thw",7
"GO:0120036","plasma membrane bounded cell projection organization","21/102","210/2428",0.000103301661775111,0.00876259003506762,0.00770626387565447,"mas/Fas2/Dg/shot/cos/Spn/spri/atk/cv-c/haf/FER/hep/Ank2/fry/fog/PsGEF/sas/Myo10A/Gli/CG44153/Dscam2",21
"GO:0030036","actin cytoskeleton organization","13/102","94/2428",0.000103784169261368,0.00876259003506762,0.00770626387565447,"Dg/shot/Spn/cv-c/mthl1/FER/hep/pico/btsz/fog/PsGEF/step/Scgdelta",13
"GO:0007444","imaginal disc development","17/102","150/2428",0.000112340300701433,0.00876259003506762,0.00770626387565447,"Fas2/dpy/Dg/shot/Dys/cos/cv-c/RhoGAP19D/mthl1/hep/pico/scaf/fry/fog/CG30069/Gli/step",17
"GO:0002009","morphogenesis of an epithelium","19/102","180/2428",0.000112753915892414,0.00876259003506762,0.00770626387565447,"Fas2/dpy/Dg/shot/Dys/cos/cv-c/RhoGAP19D/mthl1/FER/hep/scaf/btsz/chas/fry/fog/Myo10A/Gli/step",19
"GO:0048598","embryonic morphogenesis","11/102","71/2428",0.00013015173929341,0.00893965387185078,0.00786198274914121,"pyr/shot/cv-c/mthl1/FER/hep/scaf/btsz/fog/Myo10A/step",11
"GO:0009886","post-embryonic animal morphogenesis","16/102","139/2428",0.000152230357582892,0.00893965387185078,0.00786198274914121,"Fas2/dpy/Dg/shot/Dys/cos/cv-c/RhoGAP19D/mthl1/hep/scaf/btsz/fry/fog/Gli/step",16
"GO:0048666","neuron development","21/102","216/2428",0.000156194467947626,0.00893965387185078,0.00786198274914121,"mas/Fas2/Dg/shot/rg/Spn/spri/cv-c/haf/FER/Rim/hep/tinc/Ank2/SP2353/fry/fog/sas/Gli/CG44153/Dscam2",21
"GO:0030029","actin filament-based process","13/102","98/2428",0.000160780661113304,0.00893965387185078,0.00786198274914121,"Dg/shot/Spn/cv-c/mthl1/FER/hep/pico/btsz/fog/PsGEF/step/Scgdelta",13
