"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006733","oxidoreduction coenzyme metabolic process","4/88","14/2428",0.00122129011783439,0.352777040875208,0.341453854355888,"Zw/heix/Nadsyn/Pgd",4
"GO:0043062","extracellular structure organization","5/88","24/2428",0.00137512359777637,0.352777040875208,0.341453854355888,"Ehbp1/Btk29A/Pis/Ppn/hts",5
"GO:0035215","genital disc development","4/88","15/2428",0.00161963621835224,0.352777040875208,0.341453854355888,"Fas2/Btk29A/scaf/Uvrag",4
"GO:0048608","reproductive structure development","5/88","25/2428",0.00167034583747731,0.352777040875208,0.341453854355888,"Fas2/Btk29A/scaf/Uvrag/robo3",5
"GO:0061458","reproductive system development","5/88","25/2428",0.00167034583747731,0.352777040875208,0.341453854355888,"Fas2/Btk29A/scaf/Uvrag/robo3",5
"GO:0097435","supramolecular fiber organization","8/88","66/2428",0.00221682007329559,0.361576569017852,0.349970941503523,"CG4537/Btk29A/RhoBTB/hook/C3G/Grip91/hts/Apc2",8
"GO:0007548","sex differentiation","5/88","27/2428",0.00239681437795925,0.361576569017852,0.349970941503523,"Fas2/Btk29A/scaf/Uvrag/robo3",5
"GO:0031122","cytoplasmic microtubule organization","3/88","10/2428",0.00459041662302046,0.468394887782537,0.453360681854908,"CG4537/hook/Grip91",3
"GO:0065008","regulation of biological quality","28/88","484/2428",0.00490550242042377,0.468394887782537,0.453360681854908,"dlg1/Prx6005/pyd3/Vps15/spz5/ksr/ATP8A/Fas2/sinu/Btk29A/RhoBTB/NaCP60E/bchs/Vha100-1/Cyp18a1/sNPF/scaf/SAK/gammaSnap1/KaiR1D/Sytalpha/Fife/aru/Pgd/unc-13/Dys/rictor/hts",28
"GO:0051258","protein polymerization","4/88","20/2428",0.00500329102830769,0.468394887782537,0.453360681854908,"Btk29A/RhoBTB/Grip91/hts",4
"GO:0034622","cellular protein-containing complex assembly","8/88","76/2428",0.00541025767390722,0.468394887782537,0.453360681854908,"Btk29A/RhoBTB/gammaSnap1/unc-13/Grip91/Uvrag/rictor/hts",8
